date,bikes_hired,Baseline,A,B,C,D,E
2014-08-14,27185,30959.02991204,32907.28220065,32064.28742618,33108.39461565,34515.87805025,36791.45334853
2014-08-15,32510,30959.02991204,31384.74815356,30952.62767997,31033.68241747,30351.12151770,35454.22136945
2014-08-16,47245,31161.26721311,29347.29074538,30512.43329204,30357.86795690,28326.24113859,33430.57452754
2014-08-17,39952,31767.97911631,27767.80144785,29591.41452802,27888.08965756,26436.55723697,29369.06979949
2014-08-18,30784,30048.96205724,29671.34839232,30721.01431305,31445.52498521,32190.27203143,36415.65604741
2014-08-19,35332,28532.18229923,30442.13449446,32603.91800843,32135.04511388,32592.99830807,35144.17265077
2014-08-20,36817,28431.06364869,30305.28695826,32669.81998676,33017.20825632,34377.56027087,39177.26936218
2014-08-21,33236,28431.06364869,30382.20124262,32061.02921797,32758.41107123,31346.07927614,36620.96935981
2014-08-22,34047,30150.08070777,30576.72224699,31651.62471330,31683.86595713,32809.89732956,36665.37300084
2014-08-23,29999,28532.18229923,26721.20654903,28792.45384768,29352.14495153,30236.26348642,34338.81913370
2014-08-24,30962,28835.53825083,24838.70753653,26839.15172794,27589.96433301,28524.13533245,31867.60135110
2014-08-25,6175,30048.96205724,29671.34839232,26582.94827233,25266.53398617,22701.43710673,21558.99507990
2014-08-26,18448,30756.79261097,32664.20573753,29616.88112457,26722.09336878,23432.67505049,25776.53829465
2014-08-27,32286,30655.67396044,32527.35820133,31883.02309529,32440.23262649,32481.84744837,36256.05485124
2014-08-28,31842,33689.23347645,35634.36963533,33583.34774635,33621.04198001,33084.74477756,37599.03015848
2014-08-29,32439,32273.57236898,32697.79025174,31731.87465013,30944.45837783,27889.79274726,33858.73018253
2014-08-30,30832,32475.80967005,30660.33284356,30423.69567805,28153.70706282,28877.35692332,31837.73462064
2014-08-31,33312,31869.09776684,27868.80468617,28482.13944367,29561.93607219,30279.46615648,32881.85374711
2014-09-01,27455,30756.79261097,30378.37106057,27497.86852343,29014.05310188,29762.93163769,34933.67731332
2014-09-02,36836,31970.21641738,33876.24459739,32312.83069922,32253.12535521,33211.41025214,41289.92546484
2014-09-03,36523,32374.69101951,34244.41325279,32423.79283280,33773.20443849,32828.56882002,41169.70860284
2014-09-04,35448,32576.92832058,34523.33401379,32462.81959182,32795.46379510,32515.90373767,41109.52831362
2014-09-05,35013,31970.21641738,32394.78053678,30134.39203031,30565.61862591,30962.91659696,36890.34765537
2014-09-06,33434,32172.45371845,30357.32312860,28503.24205017,28490.80192057,29269.75432820,34149.39332504
2014-09-07,34248,30959.02991204,26959.77554128,25728.44607256,28377.23311847,28789.01580009,33875.59733414
2014-09-08,36983,30352.31800884,29974.35810729,30400.85657254,34008.01687100,33964.44247337,39311.17862190
2014-09-09,37674,30453.43665937,32361.19602256,32702.47812156,34683.26762258,34763.59999359,40434.47610534
2014-09-10,37091,29846.72475617,31719.33229475,31613.10710445,33917.20380858,33715.61636529,39760.18241738
2014-09-11,35303,30048.96205724,31998.25305576,31793.43367950,31832.20248542,30153.20504308,37309.39362185
2014-09-12,37144,31565.74181524,31990.76758349,30514.16907898,33340.81324604,33341.89982583,39208.97294220
2014-09-13,34174,30959.02991204,29145.28426874,27624.00439584,30044.99402458,28375.59764625,34772.91386065
2014-09-14,31770,31464.62316471,27464.79173289,26116.66292387,26907.43253677,24826.90906457,32198.95365883
2014-09-15,36629,31363.50451418,30984.39049050,28977.05028278,31324.35606658,31314.61717423,36600.68828793
2014-09-16,37535,32678.04697111,34583.26726563,31895.49554209,35005.50434596,33356.89083196,38902.32990357
